City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
69,Port Blair,IN,2020-10-28 03:58:42,11.67,92.75,84.09,69,96,3.71
70,Tasiilaq,GL,2020-10-28 03:51:14,65.61,-37.64,33.8,34,100,9.17
71,Cape Town,ZA,2020-10-28 03:46:27,-33.93,18.42,64.0,87,75,10.29
72,Asau,RO,2020-10-28 03:57:58,46.43,26.4,50.0,98,89,1.43
73,Mataura,NZ,2020-10-28 03:50:27,-46.19,168.86,55.0,76,99,11.01
74,Tuktoyaktuk,CA,2020-10-28 03:50:31,69.45,-133.04,10.4,92,90,16.11
75,Atlantic Beach,US,2020-10-28 03:58:43,30.33,-81.4,78.8,83,75,9.17
76,San Isidro,PE,2020-10-28 03:58:44,-12.12,-77.05,62.6,77,20,11.41
77,Vardo,NO,2020-10-28 03:56:35,70.37,31.11,37.4,93,75,14.99
78,Yumen,CN,2020-10-28 03:58:44,40.28,97.2,51.12,41,23,7.99
79,Saldanha,ZA,2020-10-28 03:53:02,-33.01,17.94,59.0,87,100,3.36
80,Waddan,LY,2020-10-28 03:58:44,29.16,16.14,60.33,93,3,7.0
81,Meulaboh,ID,2020-10-28 03:58:45,4.14,96.13,86.02,62,80,1.1
82,Balkhash,KZ,2020-10-28 03:58:45,46.84,74.98,33.8,55,20,15.66
83,Mzimba,MW,2020-10-28 03:58:45,-11.9,33.6,65.77,69,21,13.47
84,Karratha,AU,2020-10-28 03:58:45,-20.74,116.85,83.23,50,5,12.71
85,Nipawin,CA,2020-10-28 03:58:46,53.37,-104.0,26.6,100,90,8.05
86,Ambatondrazaka,MG,2020-10-28 03:58:46,-17.83,48.42,69.57,62,15,3.31
87,Longyearbyen,SJ,2020-10-28 03:52:01,78.22,15.64,30.2,86,75,5.82
88,Jiuquan,CN,2020-10-28 03:58:46,39.74,98.52,50.27,44,7,8.25
89,Kilindoni,TZ,2020-10-28 03:58:46,-7.91,39.67,78.71,83,18,12.41
90,Methoni,GR,2020-10-28 03:50:42,36.82,21.7,62.01,87,75,9.17
91,Itaituba,BR,2020-10-28 03:57:34,-4.28,-55.98,77.05,88,59,0.34
92,Bogale,MM,2020-10-28 03:58:47,16.28,95.4,84.13,76,53,4.94
93,Saint George,US,2020-10-28 03:52:25,37.1,-113.58,55.4,15,1,24.16
94,Hinton,CA,2020-10-28 03:58:47,53.4,-117.59,35.01,87,100,3.24
95,Touros,BR,2020-10-28 03:52:40,-5.2,-35.46,77.0,83,20,4.7
96,Oistins,BB,2020-10-28 03:58:48,13.07,-59.53,80.6,83,40,17.22
97,Turbat,PK,2020-10-28 03:58:48,26.0,63.04,80.35,17,0,3.24
98,Vestmannaeyjar,IS,2020-10-28 03:52:09,63.44,-20.27,41.7,68,61,21.32
99,Butaritari,KI,2020-10-28 03:50:28,3.07,172.79,81.36,65,12,3.96
100,Kruisfontein,ZA,2020-10-28 03:51:04,-34.0,24.73,55.99,96,45,5.99
101,Saiki,JP,2020-10-28 03:58:49,32.95,131.9,68.0,64,75,3.36
102,Mandalgovi,MN,2020-10-28 03:49:52,45.76,106.27,41.54,44,0,12.21
103,Kloulklubed,PW,2020-10-28 03:52:37,7.04,134.26,80.6,88,90,6.93
104,Hilo,US,2020-10-28 03:49:40,19.73,-155.09,78.8,78,75,3.36
